"","LABID","new.fname","Sample","well","plate"
"958","z0043642","z0043642_Mnov_GTseek_026_189_PLT_6_R2.fastq","GTseek_026_384i5_189_PLT_6_43642_R2.fastq","189","6"
"959","z0043686","z0043686_Mnov_GTseek_026_191_PLT_6_R1.fastq","GTseek_026_384i5_191_PLT_6_43686_R1.fastq","191","6"
"960","z0043686","z0043686_Mnov_GTseek_026_191_PLT_6_R2.fastq","GTseek_026_384i5_191_PLT_6_43686_R2.fastq","191","6"
"961","z0043704","z0043704_Mnov_GTseek_027_001_PLT_7_R1.fastq","GTseek_027_384i5_001_PLT_7_43704_R1.fastq","001","7"
"962","z0043704","z0043704_Mnov_GTseek_027_001_PLT_7_R2.fastq","GTseek_027_384i5_001_PLT_7_43704_R2.fastq","001","7"
"963","z0043716","z0043716_Mnov_GTseek_027_003_PLT_7_R1.fastq","GTseek_027_384i5_003_PLT_7_43716_R1.fastq","003","7"
"964","z0043716","z0043716_Mnov_GTseek_027_003_PLT_7_R2.fastq","GTseek_027_384i5_003_PLT_7_43716_R2.fastq","003","7"
"965","z0043724","z0043724_Mnov_GTseek_027_005_PLT_7_R1.fastq","GTseek_027_384i5_005_PLT_7_43724_R1.fastq","005","7"
"966","z0043724","z0043724_Mnov_GTseek_027_005_PLT_7_R2.fastq","GTseek_027_384i5_005_PLT_7_43724_R2.fastq","005","7"
"967","z0043747","z0043747_Mnov_GTseek_027_007_PLT_7_R1.fastq","GTseek_027_384i5_007_PLT_7_43747_R1.fastq","007","7"
"968","z0043747","z0043747_Mnov_GTseek_027_007_PLT_7_R2.fastq","GTseek_027_384i5_007_PLT_7_43747_R2.fastq","007","7"
